Country/Region,GDP,HAQ,Lat,Long,Recovered,death,population,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2002/1/20,2002/2/20,2002/3/20,2002/4/20,2002/5/20,2002/6/20,2002/7/20,2002/8/20,2002/9/20,2002/10/20,2002/11/20,2002/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,2003/1/20,2003/2/20,2003/3/20,2003/4/20,2003/5/20,2003/6/20,2003/7/20,2003/8/20,2003/9/20,2003/10/20,2003/11/20,2003/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,2004/1/20,2004/2/20,2004/3/20,2004/4/20,2004/5/20,2004/6/20,2004/7/20,2004/8/20,2004/9/20,2004/10/20,2004/11/20,2004/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,2005/1/20,2005/2/20,2005/3/20,2005/4/20,2005/5/20,2005/6/20,2005/7/20,2005/8/20,2005/9/20,2005/10/20,2005/11/20,2005/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,2006/1/20
Afghanistan,19362969582,32.57,33,65,2171,369,38041754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,4,5,5,1,0,0,2,0,16,0,34,10,10,16,0,10,50,4,63,36,8,18,50,18,56,21,40,37,34,52,58,49,70,56,66,27,63,30,66,84,103,72,112,68,172,125,111,232,164,134,235,190,330,168,171,215,255,369,285,276,263,413,414,349,262,408,581,492,531,540,782,584,591,658,625,580,623,866,680,545
Albania,15102500898,78.13,41.1533,20.1683,945,34,2880917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,2,11,10,5,4,9,4,4,5,6,6,13,15,19,23,28,12,11,15,11,20,16,18,27,29,28,16,6,17,9,7,17,13,21,8,19,24,21,9,14,22,25,25,29,15,34,14,10,14,16,7,9,7,6,8,17,12,10,8,6,12,4,4,4,18,18,17,13,2,1,15,5,12,8,9,6,25,21,26,23,23,15,6
Algeria,1.73758E+11,63.77,28.0339,1.6596,6717,707,43053054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,7,0,5,0,2,1,0,0,4,2,11,11,6,6,14,13,3,49,62,29,34,38,65,42,45,57,73,132,131,139,185,80,69,103,45,104,94,95,64,89,69,87,90,108,150,116,95,89,93,99,97,120,129,126,135,132,199,158,148,141,179,174,190,159,185,187,189,165,168,176,186,189,187,192,198,182,176,165,186,190,195,193,197,194,160,140,137,133,127,119
Argentina,5.19872E+11,68.4,-38.4161,-63.6167,6909,664,44780677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,4,0,5,2,0,12,3,11,11,12,11,18,31,30,108,35,86,0,115,87,101,55,75,234,0,79,132,186,0,103,74,87,80,180,0,167,66,69,166,128,98,89,81,102,90,113,291,172,173,112,111,124,158,143,104,149,102,104,133,188,163,240,165,258,244,285,316,255,345,326,263,303,438,474,648,718,704,723,552,600,705,769,717,795,637,564
Armenia,12433089919,67.67,40.0691,45.0382,4099,211,2957731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,10,8,26,26,6,31,21,24,34,41,14,16,25,39,78,17,58,50,39,92,73,34,52,11,20,28,40,16,30,46,26,28,44,48,42,47,43,48,62,72,50,73,81,69,62,59,65,134,82,125,113,121,112,163,102,145,146,138,79,146,180,142,184,239,189,351,218,230,335,322,374,359,452,289,372,442,460,251,355,210
Australia,1.4339E+12,89.83,-31.9961875,141.2327875,6706,102,25203198,0,0,0,0,4,1,0,1,3,0,3,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,3,9,13,3,5,3,13,15,16,21,0,72,50,47,80,75,116,113,110,280,478,133,362,320,446,333,497,344,377,198,303,254,214,220,137,110,98,115,98,107,88,12,36,64,25,22,60,46,42,13,22,7,10,15,17,20,7,23,8,14,12,21,23,25,28,19,19,5,21,9,22,10,9,30,16,9,10,14,4,9,14,4,15,0,12,13,11,15,19,8,10,19
Austria,4.55286E+11,88.17,47.5162,14.5501,15839,672,8955102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,5,4,3,8,12,14,24,25,27,51,64,56,202,151,205,158,314,314,367,375,426,768,892,809,305,1321,748,614,517,830,562,531,418,395,257,270,246,342,303,302,311,251,139,96,185,110,140,119,76,78,46,78,52,77,69,77,77,49,83,45,50,79,27,39,24,29,34,68,22,59,38,11,79,36,61,51,92,41,27,52,32,51,32,50,17,36,18,34,37,27,30,46,2
Azerbaijan,46939529412,64.53,40.1431,47.5769,4149,88,10047718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,3,0,0,2,0,0,4,0,8,5,0,0,16,0,9,12,7,15,6,29,43,17,27,64,25,61,41,43,78,63,57,76,105,104,65,67,40,50,49,56,30,57,33,25,38,44,38,30,44,25,28,33,39,49,38,50,40,38,52,76,67,77,75,143,97,70,104,65,121,101,158,136,113,131,113,118,106,127,140,149,132,165,191,230,257,248,168
Bahrain,37746196809,78.97,26.0275,50.55,9468,26,1641172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,10,0,3,5,6,2,0,3,3,5,25,0,10,15,85,0,0,15,4,0,14,28,22,7,20,29,43,15,27,39,8,10,23,16,52,2,74,29,16,12,56,55,12,64,38,115,96,225,167,143,29,40,33,108,26,66,54,190,301,70,59,76,88,110,119,130,114,99,150,187,214,265,245,330,167,295,295,285,382,385,164,209,228,348,356,286,240,388,336,33,195,326,360,397,344,605,473
Bangladesh,2.74025E+11,51.67,23.685,90.3563,14560,930,163046161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,3,2,4,3,3,5,2,6,6,0,5,4,0,0,1,2,3,2,5,9,18,35,41,54,112,94,58,139,182,209,219,341,266,306,312,492,434,390,414,503,309,418,497,549,641,564,571,552,665,688,786,790,706,709,636,887,1034,969,1162,1041,1202,930,1273,1602,1251,1617,1773,1694,1873,1532,1975,1166,1541,2029,2523,1764,2545,2381
Belarus,60031262269,74.43,53.7098,27.9534,23880,276,9452411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,3,0,3,15,0,0,9,0,15,0,18,7,0,5,0,5,0,8,0,0,58,0,11,141,47,89,122,138,161,205,420,495,245,352,341,362,447,476,575,0,0,1485,459,558,741,751,817,873,826,919,973,846,890,911,877,784,861,905,913,933,951,921,933,967,952,947,958,951,969,922,936,918,945,932,941,954,946,915,897,902,906,894,898,847
Belgium,5.42761E+11,87.83,50.8333,4,16315,9606,11539328,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,5,10,27,59,60,31,39,28,47,0,245,130,197,172,185,243,309,462,558,586,342,526,668,1298,1049,1850,1702,1063,876,1189,1384,1422,1661,1260,1123,1380,1209,1580,1684,1351,1629,942,530,2454,1236,1329,1045,1313,1487,973,933,908,1496,1032,809,553,647,525,660,513,485,389,361,242,272,639,591,585,485,368,330,202,307,356,345,291,279,232,192,252,276,299,282,250,113,137,257,212,125,195,136
Bolivia,40287647757,59.27,-16.2902,-63.5887,2086,465,11513100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,7,0,1,0,1,0,3,4,5,3,2,3,11,18,13,7,16,10,8,8,9,7,18,26,11,16,54,4,7,25,30,24,43,44,24,28,27,44,34,11,94,104,59,84,64,39,57,57,62,241,124,87,121,84,195,185,171,119,275,133,184,224,205,249,262,175,218,438,268,392,336,348,397,476,632,619,344,861,390,549
Bosnia and Herzegovina,20161865419,78,43.9159,17.6791,0,0,3301000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,2,4,2,5,6,1,1,12,25,26,4,33,10,30,10,15,46,21,65,45,52,39,74,46,45,30,20,90,40,54,43,45,63,28,46,27,57,47,54,17,24,33,26,45,8,65,30,49,20,92,80,24,58,18,69,20,41,40,43,20,27,24,17,23,37,18,31,23,14,17,17,12,22,19,10,5,10,19,27,23,9,16,14
Brazil,1.88548E+12,65,-14.235,-51.9253,283952,36455,211049527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,9,0,7,5,6,7,14,99,0,11,38,121,51,249,172,228,525,378,323,307,431,432,487,352,323,1138,1119,1208,1012,1304,770,1031,1873,2136,1922,1546,1089,1465,1238,1832,3058,2105,3257,2976,1996,2089,2336,2678,4279,4007,5281,3776,4346,5789,6450,7502,5015,4898,4726,6794,6835,11156,9162,11121,9167,6638,6895,8620,11923,13028,17126,13220,7569,14288,16517,19694,18508,20803,16508,15813,11687,16324,20599,26417,26928,33274,16409,11598
Bulgaria,65132951116,71.37,42.7339,25.4858,1548,160,7000119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,0,16,18,10,1,15,25,2,33,36,24,14,17,24,22,29,38,15,13,40,23,35,28,18,28,18,28,16,25,17,26,14,10,28,34,53,46,32,16,35,46,49,73,137,13,53,63,36,48,59,49,39,24,34,52,74,51,43,49,44,25,33,46,31,38,37,36,24,24,33,39,41,36,19,6,10,17,17,8,14,14,6
Cameroon,38675205293,44.23,3.848,11.5021,4735,212,25876380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,6,0,3,7,7,13,16,10,9,0,16,0,48,0,54,40,73,203,46,95,8,0,72,0,90,0,0,0,28,0,148,0,21,0,146,0,0,171,96,88,103,84,0,127,0,0,245,0,27,0,161,2,0,7,305,110,0,111,154,151,0,0,424,0,204,555,112,0,490,0,546,0,0,0,468,0,493
Canada,1.71334E+12,87.63,47.98290714,-88.40206429,54675,7877,37411047,0,0,0,0,1,0,1,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,2,1,6,4,3,3,3,4,12,5,10,13,2,29,9,76,5,54,163,63,179,143,143,334,192,619,702,461,791,640,894,704,1118,1129,1033,1724,1153,541,2778,807,1309,1269,1513,1405,1257,983,1381,1355,1174,2600,2005,1542,1277,2025,1744,2261,1636,1620,1452,1662,1583,1534,1715,1592,1886,1583,2578,1453,1258,1479,1507,1473,1244,1173,1173,1155,1149,1213,1178,1247,1126,1079,1082,1082,1167,1205,1204,955,1013,971,899,987,933,772,798,809
Central African Republic,2219894702,29.1,6.6111,20.9394,0,0,4745185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,2,0,2,0,0,3,0,31,0,0,22,0,0,13,0,9,0,49,0,0,0,0,0,0,158,26,0,0,39,52,18,43,73,52,48,19,31,53,119,88,49,58
Chile,2.98231E+11,75.97,-35.6751,-71.543,108150,1637,18952038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,4,0,5,10,0,20,18,13,81,46,37,0,196,103,95,114,176,220,164,304,299,230,310,289,293,373,333,424,310,344,301,430,426,529,426,286,312,392,356,534,445,478,358,419,325,464,516,494,552,473,482,552,520,1138,985,1427,1228,980,1373,1032,1533,1391,1247,1647,1197,1658,2660,2659,2502,1886,2353,2278,3520,4038,3964,4276,3536,3709,4895,3964,4328,4654,3695,4220,4830,5470
China,1.36082E+13,74.17,32.82838485,111.6490818,79434,4638,1441860285,548,95,277,486,669,802,2632,578,2054,1661,2089,4739,3086,3991,3733,3147,3523,2704,3015,2525,2032,373,15136,6463,2055,2100,1921,1777,408,458,473,1451,21,219,513,412,434,328,428,576,204,125,125,151,153,80,53,37,27,34,11,13,32,26,30,25,44,54,94,55,130,63,93,70,121,115,102,123,76,81,82,71,79,32,59,63,53,91,74,58,73,120,79,93,50,47,357,27,18,12,36,15,16,15,10,3,6,22,4,12,3,0,5,2,2,2,5,1,14,20,1,7,6,5,9,6,10,9,0,0,0,18,3,11,7,1,3,0,17,5,18,8
Colombia,3.31047E+11,67.77,4.5709,-74.2973,14987,1319,50339443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,6,0,4,9,12,20,11,28,9,26,68,35,46,101,92,21,48,69,94,96,108,159,96,106,139,79,94,201,274,169,250,236,67,76,127,126,128,206,0,353,185,172,207,205,320,261,237,218,352,258,300,499,279,383,305,640,346,497,595,444,568,550,659,658,680,606,723,635,721,640,752,643,801,1046,998,806,1022,1101,37,1265,1328,485,2165
Costa Rica,60130106116,72.8,9.7489,-83.7534,0,0,5047561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,4,0,4,9,1,3,1,8,6,9,19,20,28,17,24,19,24,30,32,32,19,16,17,28,21,20,19,19,13,16,19,37,19,19,18,17,6,8,16,7,6,5,2,7,12,5,1,6,2,2,8,8,6,6,8,6,3,13,6,4,8,7,12,9,3,11,15,13,10,10,3,16,15,6,8,7,12,21,5,28,16,22,25,9,28
Croatia,60971699315,81.6,45.1,15.2,2128,104,4130304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,1,1,0,2,1,0,1,1,0,0,2,5,0,13,6,11,8,8,16,24,23,78,48,61,67,60,53,91,71,56,77,77,96,48,68,47,56,40,60,61,64,88,39,66,50,54,37,50,23,18,39,10,27,42,31,28,7,14,9,8,15,14,9,3,8,5,11,7,6,36,15,11,9,11,6,8,1,2,2,2,4,2,3,6,0,1,0,0,0,1,0,1,0,0
Cuba,1.00023E+11,73.57,22,-80,1862,83,11333483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,2,4,5,5,14,5,8,9,10,13,39,20,31,16,26,21,36,19,32,30,46,61,58,49,56,49,57,40,48,48,61,63,49,52,50,52,46,50,52,32,20,48,30,34,36,74,38,19,17,18,26,12,13,12,17,21,6,20,10,22,10,9,6,13,8,8,15,10,6,16,11,9,22,20,20,38
Denmark,3.55675E+11,85.7,63.2878,-13.3381,10992,593,5877226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,5,0,13,0,13,55,172,180,173,187,32,39,58,92,91,109,112,83,94,58,146,144,161,177,166,198,191,284,251,283,373,323,292,314,391,331,233,184,177,178,144,193,170,198,194,169,143,131,180,217,163,137,235,130,123,153,157,150,153,96,116,147,151,117,145,135,101,110,84,78,76,46,78,67,69,41,76,73,65,48,59,72,27,41,53,32,81,40,36,30
Djibouti,2955912228,44.2,11.8251,42.5903,1877,28,973560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,8,0,1,2,4,0,12,3,7,9,1,9,31,0,45,0,15,37,27,84,65,72,156,141,0,114,0,99,29,12,13,9,15,12,37,5,12,8,15,0,4,4,4,9,2,54,21,17,29,12,16,25,22,70,117,100,210,219,223,0,0,198,0,229,217,0,280,160,215
Dominican Republic,85555390387,62.4,18.7357,-70.1627,0,0,10738958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,6,0,0,10,0,13,38,40,90,43,67,80,96,93,138,140,42,208,175,96,108,0,257,83,128,155,238,271,139,208,200,119,328,141,371,209,345,284,80,256,243,206,177,209,158,123,236,320,316,290,376,281,245,327,288,281,506,465,287,266,296,124,419,371,204,411,498,254,180,332,433,379,272,191,459,345,463,377,377,287
Ecuador,1.08398E+11,61.2,-1.8312,-78.1834,21020,3621,17373662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,3,3,0,0,1,1,0,2,0,0,11,0,9,21,53,88,168,139,283,192,101,91,230,192,228,101,38,278,508,415,205,97,181,101,0,703,515,2196,96,209,63,74,255,367,225,572,446,660,270,452,333,11536,0,0,521,1018,417,259,1402,1128,2074,2343,0,0,0,0,253,488,0,910,67,16,965,1296,419,400,569,703,452,522,430,498,599,0,748,368,100,0,527,0
Egypt,0,60.93,26,30,8961,1237,100388073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,12,0,34,6,4,1,7,13,29,1,40,46,0,60,29,9,33,39,36,54,39,41,40,33,47,54,69,86,120,85,103,149,128,110,139,95,145,126,125,160,155,168,171,188,112,189,157,169,232,201,227,215,248,260,226,269,358,298,272,348,388,387,393,495,488,436,346,347,338,398,399,491,510,535,720,745,774,783,727,752,702,789,910,1127,1289,1367,1536,1399
El Salvador,26057000000,64.17,13.7942,-88.8965,0,0,6453553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,4,4,0,6,5,6,2,0,9,5,10,6,7,9,15,10,14,1,7,12,12,10,5,13,13,11,17,7,12,13,24,0,24,25,22,32,18,29,22,44,65,32,46,62,47,42,105,69,40,39,75,98,55,73,75,85,73,69,85,94,96,68,59,67,85,84,117,122,65
Equatorial Guinea,13278488567,45.23,1.5,10,0,0,1355986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,3,0,0,3,0,0,0,0,0,3,0,1,0,0,0,0,2,0,0,0,3,0,20,10,0,28,0,0,0,4,1,0,130,44,0,0,57,0,0,0,0,0,0,0,124,0,0,0,0,0,0,83,61,11,0,0,125,106,65,13,57,0,0,83,0,0,0,263,0,0,0
Estonia,30732144529,81.37,58.5953,25.0136,1683,69,1325648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,7,0,0,0,2,4,0,63,36,56,34,20,33,9,16,23,20,26,17,35,134,37,70,34,36,30,34,79,103,78,58,11,41,36,22,51,46,5,23,41,27,34,25,53,16,7,17,7,33,13,30,8,4,13,6,23,5,5,1,3,8,2,7,5,8,6,2,5,5,7,8,4,4,10,7,3,6,7,14,2,1,10,6,11,8,6,4,1
Ethiopia,84355604753,44,9.145,40.4897,361,27,112078730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,1,0,3,0,2,0,1,0,0,4,0,5,2,3,3,0,6,3,5,1,8,3,1,9,4,2,3,8,3,7,4,9,3,3,3,2,0,1,5,1,1,2,4,1,2,0,2,5,5,17,29,3,16,29,11,11,2,9,15,19,11,35,13,24,10,34,61,88,73,46,30,100,137,95,109,85
Finland,2.76743E+11,89.57,64,26,5800,323,5532156,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,6,3,0,8,7,10,19,0,96,70,19,33,44,15,64,50,73,103,74,92,88,78,83,126,73,112,66,28,72,97,267,45,249,132,179,118,164,136,69,90,97,76,132,120,192,102,85,146,115,155,111,80,101,119,45,166,89,56,125,78,73,85,161,100,65,142,82,22,19,51,91,83,58,61,33,19,44,50,44,31,11,20,29,64,51,33,50,33,26
